% r                      z
0.0027797557             1.5623312E-12            
0.0027833567             1.5797934E-12            
0.0027869572             1.5975074E-12            
0.0027905582             1.6154809E-12            
0.0027941586             1.6337127E-12            
0.0027977596             1.6522107E-12            
0.00280136               1.6709735E-12            
0.002804961              1.6900094E-12            
0.0028085615             1.7093166E-12            
0.0028121623             1.7289025E-12            
0.002815763              1.7487692E-12            
0.0028193637             1.76892E-12              
0.0028229645             1.7893585E-12            
0.0028265652             1.8100881E-12            
0.002830166              1.8311123E-12            
0.0028337666             1.8524347E-12            
0.0028373674             1.8740586E-12            
0.002840968              1.895988E-12             
0.0028445688             1.9182262E-12            
0.0028481695             1.9407767E-12            
0.00285177               1.963642E-12             
0.002855371              1.9868298E-12            
0.0028589715             2.0103379E-12            
0.0028625724             2.0341762E-12            
0.002866173              2.0583422E-12            
0.002869774              2.0828458E-12            
0.0028733744             2.1076845E-12            
0.0028769753             2.1328683E-12            
0.0028805758             2.1583948E-12            
0.0028841768             2.1842742E-12            
0.0028877775             2.2105054E-12            
0.0028913782             2.237094E-12             
0.002894979              2.2640436E-12            
0.0028985795             2.2913566E-12            
0.0029021804             2.319042E-12             
0.002905781              2.3470971E-12            
0.0029093819             2.3755325E-12            
0.0029129824             2.4043452E-12            
0.0029165833             2.4335464E-12            
0.0029201838             2.4631328E-12            
0.0029237848             2.493116E-12             
0.0029273853             2.523492E-12             
0.0029309862             2.5542734E-12            
0.0029345867             2.585456E-12             
0.0029381874             2.6170498E-12            
0.0029417882             2.649057E-12             
0.002945389              2.681482E-12             
